Name	University	Country	
 O. Willum	Technische Universität Berlin	DE	
 Moti Yung	Columbia University	US	Cryptographic_protocols;Network_security
 Imre Z. Ruzsa	Haynal Imre University of Health Sciences Budapest	HU	
 M. Molloy	University College Dublin	IE	Risk_factor_(computing)
 E Fachini	Higher School of University and Advanced Studies Pisa	IT	
 Y. Roditty	Tel Aviv University	IL	
 Tal Zur	Tel Aviv University	IL	
 Ioana Manolescu	Marian College	US	Data_integration;Web_services;Data_management
 János Körner	Cornell University	US	
Dominic Welsh	University of Oxford	GB	Planar_(computer_graphics);Graph_(mathematics)
Gershon Elber	Technion - Israel Institute of Technology	IL	Geometric_modeling;Solid_modeling;Voronoi_diagram
Rudolf Ahlswede	Universität Bielefeld	DE	Quantum_capacity;Conditional_mutual_information
Nabil Kahale	College of Nursing and Allied Health Scinces	SA	
Marek Karpinski	Universität Linz	AT	Approximation_algorithms;Approximation_algorithm
D J Kleitman	Massachusetts Institute of Technology	US	Spanning_tree;Binary_trees
Martin Farach-Colton	Butler University	US	Pattern_matching;Dynamic_programming;Register_allocation;Approximate_string_matching;Feature_extraction
Oded Schwartz	Instituto Piaget	PT	Matrix_multiplication
Chen Avin	Tel Aviv University	IL	Randomized_algorithm
Ronen Shabo	Tel Aviv University	IL	
Manuel Blum	Carnegie Mellon University	US	Boolean_satisfiability_problem
Michael Krivelevich	Tel Aviv University	IL	Random_graphs;Random_graph;Regular_graphs;Graph_theory
Alexander Shpunt	Massachusetts Institute of Technology	US	Boolean_function
Jeong Han Kim	AISTEDA	RO	Random_graphs;Giant_component;Random_graph
H. Lefmann	Universität Bielefeld	DE	Tur%C3%A1n_number;Extremal_combinatorics
Rani Hod	Tel Aviv University	IL	
Debmalya Panigrahi	Massachusetts Institute of Technology	US	Optimization_problem
Itay Dar	Tel Aviv University	IL	
Jignesh M. Patel	Science University of Tokyo	JP	Graph_databases;Concurrency_control
George A. Mihaila	University of Toronto	CA	Data_model_(ArcGIS);Query_languages;Query_language
János Pach	Eötvös Lorand University	HU	Planar_graphs;Planar_graph;Geometric_graphs
Haim Kaplan	Tel Aviv University	IL	Approximation_algorithms;Distributed_algorithm
Jarosław Grytczuk	The Scripps Research Institute	US	
R. Unland	Universität Duisburg-Essen	DE	Distributed_artificial_intelligence
Robert Morris	Massachusetts Institute of Technology	US	
Volker Markl	Technische Universität Berlin	DE	Data_modeling;Data_management;Query_optimization
Alon Pilberg	Tel Aviv University	IL	
Tatsuya Nagatani	Atomi College	JP	
Adi Shraibman	Weizmann Institute of Science	IL	Communication_complexity
M. Szegedy	Oregon Health Sciences University	US	
Yael Grossman	Tel Aviv University	IL	
Yehoshua Sagiv	Institute of Paper Science and Technology	US	Query_optimization;Heuristic_algorithms
P Seymour	Princeton University	US	
Iftah Gamzu	Tel Aviv University	IL	Approximation_algorithms
Eun Jung Kim	Texas A&M University	US	Data_compression;Network_analysis
D. Halperin	University of Colorado Health Sciences Center	US	
Ilia Lotosh	College of Science, Baghdad University	IQ	Optical_character_recognition
Boaz Patt-Shamir	Tel Aviv University	IL	Randomized_algorithms
Tomasz Luczak	Adam Mickiewicz University of Poznan	PL	Random_graphs;Random_graph;Giant_component;Quantum_walk
M A Perles	Hebrew University of Jerusalem	IL	
Peter Hamburger	Western Kentucky University	US	
A. P. A. Vestjens	NTI University	NL	Single-machine_scheduling;Randomized_algorithm;Competitive_analysis_(online_algorithm)
Eldar Fischer	Oulu Polytechnic	FI	Property_testing
Felix Fischer	London College of Science & Technology	GB	
Rom Pinchasi	Massachusetts Institute of Technology	US	Geometric_graphs
David Konopnicki	Applied Science University	JO	Query_language;Search_engine_(computing)
Phuong Dao	Simon Fraser University	CA	
Rafail Ostrovsky	Dhirubhai Ambani Institute of Information and Communication Technology	IN	Private_information_retrieval;Homomorphic_encryption
Stephen Alstrup	IT University of Copenhagen	DK	
Hiêp Hàn	Humboldt Universität Berlin	DE	
Fabio Pardi	Illinois Institute of Technology	US	
Eyal Lubetzky†	Fred Hutchinson Cancer Research Center	US	Random_graphs;Random_graph;Giant_component
Michal Parnas	Afeka Tel Aviv Academic College of Engineering	IL	
Asaf Shapira†	Fachhochschule Kiel	DE	Graph_property;Directed_graphs;Approximation_algorithms
Eyal Lubetzky	Fred Hutchinson Cancer Research Center	US	Random_graphs;Random_graph;Giant_component
Moshe Tenneholtz	Technion - Israel Institute of Technology	IL	Boolean_function;Social_network
Tomasz Schoen	Universität Kassel	DE	
Fabian Kuhn	Université de Marne la Vallée	FR	
Guillaume Fertin	University of Oklahoma Health Sciences Center	US	Approximation_algorithms;Star_coloring
M. R. Fellows	University of Newcastle	AU	
Mihyun Kang	Technische Universität Berlin	DE	Planar_graphs;Random_graph;Random_graphs;Giant_component
Zsolt Tuza	Latvian Academy of Culture	LV	Graph_coloring;Planar_graphs;Vertex_cover;Directed_graphs;Graph_partition
Elad Verbin	Tel Aviv University	IL	Data_structure
Michael Merritt	Thiel College	US	
David Haussler	Information and Communications University	KR	
M. P. Consens	University of Toronto	CA	
Sampath Kannan	University of Pennsylvania	US	Dynamic_programming;Online_algorithms;Decision_trees;Cryptographic_primitives
László Babai	University of Chicago	US	Infinite_graphs;Graph_isomorphism
Ravi Kannan	AISTEDA	RO	Approximation_algorithms;Integer_programming;Linear_programming
Y Mansour	Imperial College London	GB	
A. Monti	Instituto Politecnico do Porto	PT	
Michael Saks	Butler University	US	Matrix_multiplication;Binary_trees
Omer Reingold	Weizmann Institute of Science	IL	Theory_of_cryptography;Hash_functions;Cryptographic_primitives;Differential_privacy
Benjamin Doerr	Nagasaki Institute of Applied Science	JP	Evolutionary_algorithm;Evolutionary_algorithms;Genetic_algorithms;Randomized_rounding
M. Naor	University of California, Berkeley	US	Universal_one-way_hash_function
D Pritikin	Siam University	TH	
Jenó Lehel	Latvian Academy of Culture	LV	D_(data_language_specification)
Assaf Naor	York University	US	Quadratic_forms
N. Linial	Hebrew University of Jerusalem	IL	Graph_coloring;Graph_connectivity;Graph_products
Ariel D. Procaccia	Carnegie Mellon University	US	
Maike Buchin	NTI University	NL	Approximation_algorithm
Micha Sharir	Tel Aviv University	IL	Geometric_graphs;Range_searching
Jackie Assa	Tel Aviv University	IL	
Zhuowei Bao	University of Pennsylvania	US	
T J Ott	Butler University	US	
Prasad Tetali	Caucasus University	GE	Random_graphs;Approximation_algorithms;Markov_chain
E. Cohen	Sree Sankaracharya University of Sanskrit	IN	
Uri Arad	Galillee College	IL	
Nir Ailon	Tampere University of Technology	FI	Dimension_reduction;Approximation_algorithms;Property_testing
Sihem Amer-Yahia	Missouri Tech	US	Big_data
Dan Vodislav	Applied Science University	JO	Semantic_integration
Kevin Buchin	NTI University	NL	Delaunay_triangulation;Voronoi_diagram;Planar_graphs;Planar_graph
Eric Blais	McGill University	CA	Boolean_function;Property_testing;Communication_complexity
Zoltan Furedi	University of Illinois	US	Graph_theory;Hypergraph
Benny Chor	Massachusetts Institute of Technology	US	Random_oracle;Private_information_retrieval
Rebecca N. Wright	Oregon Health Sciences University	US	Cryptographic_protocols;Key_exchange;Bayesian_networks
Sergey Yekhanin	Wilson College	US	Private_information_retrieval;Approximation_algorithms;Group_testing
Neoklis Polyzotis	University of Applied Sciences	EE	Data_management;Data_model_(ArcGIS);Big_data
Richard A Brualdi	Universität Dortmund	DE	Laplacian_matrix
Jehoshua Bruck	California Institute of Technology	US	
Dhruv Mubayi	University of Illinois	US	
Moshe Tennenholtz	Technion - Israel Institute of Technology	IL	User_modeling;Competitive_analysis_(online_algorithm)
Hao Huang	Nanjing University	CN	Formal_verification;Monitor_(synchronization)
Vera Asodi	Tel Aviv University	IL	
Richard A. Duke	Georgia Institute of Technology	US	
Sridhar Rajagopalan	ICT College	US	Approximation_algorithms;Random_graph
Ayal Zaks	University of Haifa	IL	
J Csirik	University of Szeged	HU	
Gady Kozma	Weizmann Institute of Science	IL	Random_graph
Jan Vondrák	AISTEDA	RO	
Benny Sudakov	Athenaeum of Ohio	US	Random_graphs;Regular_graphs;Graph_products;Random_graph
Saket Saurabh	CMJ University	IN	Vertex_cover;Geometric_graphs;Directed_graphs
Simon Kasif	Boston University	US	Markov_models;Support_vector_machines
Haim Kaplan	Tel Aviv University	IL	Approximation_algorithms;Distributed_algorithm
Yossi Matias	Tel Aviv University	IL	Data_structures;Data_compression;Hash_functions
Angela Bonifati	Université Henri Poincaré (Nancy I)	FR	XML_databases;Query_languages;XML_Schema_(W3C)
Donovan Hare	University of British Columbia	CA	
