Name	University	Country	
Yidong Yuan	Zhejiang University	CN	http://dbpedia.org/resource/Data_stream
Eyal Lubetzky	Fred Hutchinson Cancer Research Center	US	http://dbpedia.org/resource/Random_walk;http://dbpedia.org/resource/Random_graphs;http://dbpedia.org/resource/Random_graph;http://dbpedia.org/resource/Giant_component;http://dbpedia.org/resource/Square_lattice
Moshe Tennenholtz	Technion - Israel Institute of Technology	IL	http://dbpedia.org/resource/Decision_theory;http://dbpedia.org/resource/Mechanism_design;http://dbpedia.org/resource/User_modeling;http://dbpedia.org/resource/Matching_theory_(macroeconomics);http://dbpedia.org/resource/Competitive_analysis_(online_algorithm)
Ramesh Govindan	University of Southern California	US	
Christos H. Papadimitriou	University of California, Berkeley	US	http://dbpedia.org/resource/Approximation_algorithm;http://dbpedia.org/resource/Parallel_algorithm;http://dbpedia.org/resource/Computational_complexity_theory;http://dbpedia.org/resource/Combinatorial_optimization;http://dbpedia.org/resource/Traveling_Salesman_problem
Kian-Lee Tan	School of Management	SK	http://dbpedia.org/resource/Data_mapping;http://dbpedia.org/resource/Parallel_processing;http://dbpedia.org/resource/Distributed_database
Alexander Skopalik	Universität Ulm	DE	http://dbpedia.org/resource/Congestion_game;http://dbpedia.org/resource/Potential_game
Ilsoo Ahn	Tomsk State University of Control Systems and Radioelectronics	RU	http://dbpedia.org/resource/Database_design;http://dbpedia.org/resource/Database_management_system
Caetano Traina Jr.	Universidade Federal de São Carlos	BR	http://dbpedia.org/resource/Data_analysis;http://dbpedia.org/resource/Feature_extraction;http://dbpedia.org/resource/Feature_selection;http://dbpedia.org/resource/Data_mining
Nicolò Cesa-Bianchi	University of Milan	IT	http://dbpedia.org/resource/Algorithmic_learning_theory;http://dbpedia.org/resource/Kernel_methods;http://dbpedia.org/resource/Computational_learning_theory;http://dbpedia.org/resource/Machine_learning
A. M. Frieze	Carnegie Mellon University	US	http://dbpedia.org/resource/Random_graphs;http://dbpedia.org/resource/Traveling_Salesman_problem;http://dbpedia.org/resource/Random_graph;http://dbpedia.org/resource/Linear_programming;http://dbpedia.org/resource/Linear_programs
Paolo Ceravolo	University of Bari	IT	http://dbpedia.org/resource/Data_integration;http://dbpedia.org/resource/Business_process;http://dbpedia.org/resource/Big_data;http://dbpedia.org/resource/Business_intelligence;http://dbpedia.org/resource/Business_rules_engine
Dominik Schmidt	Universität Potsdam	DE	http://dbpedia.org/resource/Mobile_phone
